Parameters read
34	16	100	1	20
Simulation started
Initialise 34 🐿️
Timer on 1 READY, simulation length: 20
CTRL on 18 READY

		    Timer report: month  1    
Land on rank 12, month  6 	influx: 543	infected: 30
Land on rank 14, month  6 	influx: 527	infected: 24
Land on rank 10, month  6 	influx: 509	infected: 30
Land on rank 17, month  6 	influx: 489	infected: 25
Land on rank  5, month  6 	influx: 535	infected: 30
Land on rank  9, month  6 	influx: 578	infected: 36

		    Timer report: month  7    
Land on rank  2, month  7 	influx: 572	infected: 81
Land on rank  3, month  7 	influx: 556	infected: 74
Land on rank  7, month  7 	influx: 594	infected: 90
Land on rank  8, month  7 	influx: 552	infected: 76
Land on rank  9, month  7 	influx: 642	infected: 77
Land on rank 13, month  7 	influx: 531	infected: 71
Land on rank  5, month  7 	influx: 541	infected: 62
Land on rank 16, month  7 	influx: 564	infected: 78
Land on rank 11, month  7 	influx: 590	infected: 66
Land on rank  4, month  7 	influx: 563	infected: 76
Land on rank 15, month  7 	influx: 581	infected: 79
Land on rank 14, month  7 	influx: 574	infected: 62
Land on rank  6, month  7 	influx: 558	infected: 68
Land on rank 17, month  7 	influx: 523	infected: 68
Land on rank 10, month  7 	influx: 557	infected: 77
Land on rank 12, month  7 	influx: 563	infected: 83

		    Timer report: month  8    
Land on rank  2, month  8 	influx: 526	infected: 124
Land on rank 10, month  8 	influx: 525	infected: 127
Land on rank 17, month  8 	influx: 503	infected: 125
Land on rank 12, month  8 	influx: 495	infected: 135
Land on rank  5, month  8 	influx: 519	infected: 122
Land on rank 11, month  8 	influx: 572	infected: 140
Land on rank  3, month  8 	influx: 528	infected: 133
Land on rank  9, month  8 	influx: 583	infected: 125
Land on rank 15, month  8 	influx: 536	infected: 125
Land on rank  4, month  8 	influx: 516	infected: 130
Land on rank 16, month  8 	influx: 509	infected: 118
Land on rank  8, month  8 	influx: 494	infected: 126
Land on rank  7, month  8 	influx: 557	infected: 141
Land on rank 14, month  8 	influx: 559	infected: 125
Land on rank  6, month  8 	influx: 544	infected: 131
Land on rank 13, month  8 	influx: 497	infected: 135

		    Timer report: month  9    
Land on rank  2, month  9 	influx: 410	infected: 173
Land on rank  4, month  9 	influx: 394	infected: 175
Land on rank  6, month  9 	influx: 414	infected: 188
Land on rank  8, month  9 	influx: 410	infected: 181
Land on rank 12, month  9 	influx: 397	infected: 184
Land on rank 13, month  9 	influx: 384	infected: 172
Land on rank 14, month  9 	influx: 421	infected: 174
Land on rank 15, month  9 	influx: 416	infected: 177
Land on rank 17, month  9 	influx: 423	infected: 191
Land on rank  5, month  9 	influx: 420	infected: 179
Land on rank 10, month  9 	influx: 418	infected: 165
Land on rank  7, month  9 	influx: 452	infected: 184
Land on rank  9, month  9 	influx: 414	infected: 158
Land on rank 16, month  9 	influx: 406	infected: 174
Land on rank 11, month  9 	influx: 456	infected: 196
Land on rank  3, month  9 	influx: 451	infected: 210

		    Timer report: month 10    
Land on rank  6, month 10 	influx: 262	infected: 161
Land on rank  7, month 10 	influx: 285	infected: 158
Land on rank 10, month 10 	influx: 253	infected: 138
Land on rank 11, month 10 	influx: 290	infected: 187
Land on rank 12, month 10 	influx: 246	infected: 154
Land on rank 14, month 10 	influx: 266	infected: 159
Land on rank 15, month 10 	influx: 266	infected: 157
Land on rank 17, month 10 	influx: 262	infected: 158
Land on rank  4, month 10 	influx: 250	infected: 162
Land on rank 16, month 10 	influx: 262	infected: 144
Land on rank  2, month 10 	influx: 248	infected: 137
Land on rank  9, month 10 	influx: 252	infected: 143
Land on rank  3, month 10 	influx: 286	infected: 185
Land on rank  5, month 10 	influx: 281	infected: 163
Land on rank  8, month 10 	influx: 269	infected: 153
Land on rank 13, month 10 	influx: 255	infected: 163

		    Timer report: month 11    
Land on rank  3, month 11 	influx: 159	infected: 121
Land on rank  4, month 11 	influx: 141	infected: 114
Land on rank  8, month 11 	influx: 153	infected: 105
Land on rank 10, month 11 	influx: 134	infected: 86
Land on rank 12, month 11 	influx: 127	infected: 98
Land on rank 13, month 11 	influx: 130	infected: 100
Land on rank 14, month 11 	influx: 130	infected: 98
Land on rank 15, month 11 	influx: 136	infected: 106
Land on rank  9, month 11 	influx: 131	infected: 97
Land on rank  2, month 11 	influx: 127	infected: 94
Land on rank  5, month 11 	influx: 124	infected: 101
Land on rank  7, month 11 	influx: 146	infected: 109
Land on rank  6, month 11 	influx: 130	infected: 107
Land on rank 11, month 11 	influx: 145	infected: 114
Land on rank 16, month 11 	influx: 143	infected: 106
Land on rank 17, month 11 	influx: 135	infected: 102

		    Timer report: month 12    
Land on rank 10, month 12 	influx: 51	infected: 31
Land on rank 12, month 12 	influx: 46	infected: 34
Land on rank 14, month 12 	influx: 50	infected: 39
Land on rank 16, month 12 	influx: 52	infected: 34
Land on rank 11, month 12 	influx: 65	infected: 44
Land on rank  2, month 12 	influx: 44	infected: 31
Land on rank  6, month 12 	influx: 44	infected: 32
Land on rank  7, month 12 	influx: 51	infected: 39
Land on rank  8, month 12 	influx: 46	infected: 33
Land on rank 15, month 12 	influx: 52	infected: 36
Land on rank 17, month 12 	influx: 39	infected: 28
Land on rank  9, month 12 	influx: 56	infected: 42
Land on rank  5, month 12 	influx: 43	infected: 33
Land on rank  4, month 12 	influx: 59	infected: 48
Land on rank  3, month 12 	influx: 54	infected: 37
Land on rank 13, month 12 	influx: 49	infected: 40

		    Timer report: month 13    
Land on rank  7, month 13 	influx: 22	infected: 17
Land on rank 16, month 13 	influx: 25	infected: 19
Land on rank 11, month 13 	influx: 25	infected: 16
Land on rank 17, month 13 	influx: 23	infected: 17
Land on rank  5, month 13 	influx: 19	infected: 14
Land on rank  2, month 13 	influx: 25	infected: 19
Land on rank 15, month 13 	influx: 24	infected: 18
Land on rank  4, month 13 	influx: 23	infected: 21
Land on rank  9, month 13 	influx: 25	infected: 18
Land on rank 14, month 13 	influx: 24	infected: 20
Land on rank 13, month 13 	influx: 12	infected: 10
Land on rank  3, month 13 	influx: 27	infected: 18
Land on rank 12, month 13 	influx: 21	infected: 14
Land on rank  8, month 13 	influx: 25	infected: 19
Land on rank 10, month 13 	influx: 18	infected: 11
